,agent,opponent
1617,920,699
1618,921,699
1619,922,699
1620,922,700
1621,922,701
1622,922,702
1623,923,702
1624,923,703
1625,923,704
1626,924,704
1627,924,705
1628,925,705
1629,926,705
1630,927,705
1631,928,705
1632,929,705
1633,930,705
1634,931,705
1635,931,706
1636,931,707
1637,932,707
1638,932,708
1639,933,708
1640,934,708
1641,935,708
1642,936,708
1643,936,709
1644,937,709
1645,938,709
1646,938,710
1647,938,711
1648,938,712
1649,938,713
1650,938,714
1651,939,714
1652,940,714
1653,941,714
1654,941,715
1655,941,716
1656,942,716
1657,942,717
1658,942,718
1659,943,718
1660,944,718
1661,944,719
1662,945,719
1663,946,719
1664,947,719
1665,948,719
1666,949,719
1667,950,719
1668,950,720
1669,950,721
1670,950,722
1671,950,723
1672,951,723
1673,952,723
1674,952,724
1675,953,724
1676,953,725
1677,954,725
1678,954,726
1679,955,726
1680,955,727
1681,956,727
1682,956,728
1683,957,728
1684,957,729
1685,958,729
1686,958,730
1687,959,730
1688,960,730
1689,960,731
1690,961,731
1691,962,731
1692,963,731
1693,964,731
1694,964,732
1695,965,732
1696,966,732
1697,967,732
1698,967,733
1699,967,734
1700,968,734
1701,968,735
1702,968,736
1703,969,736
1704,970,736
1705,971,736
1706,972,736
1707,973,736
1708,974,736
1709,975,736
1710,975,737
1711,976,737
1712,976,738
1713,976,739
1714,977,739
1715,977,740
1716,978,740
1717,979,740
1718,979,741
1719,980,741
1720,980,742
1721,980,743
1722,981,743
1723,982,743
1724,983,743
1725,983,744
1726,984,744
1727,984,745
1728,985,745
1729,986,745
1730,987,745
1731,987,746
1732,988,746
1733,989,746
1734,989,747
1735,989,748
1736,990,748
1737,991,748
1738,992,748
1739,992,749
1740,993,749
1741,994,749
1742,994,750
1743,994,751
1744,995,751
1745,995,752
1746,996,752
1747,996,753
1748,997,753
1749,997,754
1750,997,755
1751,997,756
1752,998,756
1753,998,757
1754,999,757
1755,999,758
1756,1000,758
1757,1001,758
1758,1001,759
1759,1001,760
1760,1002,760
1761,1003,760
1762,1003,761
1763,1004,761
1764,1004,762
1765,1005,762
1766,1006,762
1767,1006,763
1768,1007,763
1769,1008,763
1770,1008,764
1771,1009,764
1772,1010,764
1773,1010,765
1774,1011,765
1775,1011,766
1776,1011,767
1777,1012,767
1778,1012,768
1779,1013,768
1780,1013,769
1781,1013,770
1782,1013,771
1783,1013,772
1784,1014,772
1785,1015,772
1786,1015,773
1787,1016,773
1788,1017,773
1789,1018,773
1790,1019,773
1791,1019,774
1792,1019,775
1793,1020,775
1794,1021,775
1795,1022,775
1796,1022,776
1797,1023,776
1798,1023,777
1799,1024,777
1800,1024,778
1801,1025,778
1802,1025,779
1803,1026,779
1804,1026,780
1805,1026,781
1806,1027,781
1807,1027,782
1808,1027,783
1809,1028,783
1810,1029,783
1811,1030,783
1812,1031,783
1813,1031,784
1814,1031,785
1815,1032,785
1816,1032,786
1817,1032,787
1818,1033,787
1819,1034,787
1820,1034,788
1821,1034,789
1822,1035,789
1823,1035,790
1824,1035,791
1825,1035,792
1826,1035,793
1827,1035,794
1828,1036,794
1829,1036,795
1830,1036,796
1831,1037,796
1832,1037,797
1833,1037,798
1834,1038,798
1835,1038,799
1836,1039,799
1837,1040,799
1838,1040,800
1839,1041,800
1840,1041,801
1841,1041,802
1842,1042,802
1843,1042,803
1844,1043,803
1845,1044,803
1846,1045,803
1847,1045,804
1848,1046,804
1849,1046,805
1850,1047,805
1851,1047,806
1852,1048,806
1853,1049,806
1854,1050,806
1855,1051,806
1856,1051,807
1857,1052,807
1858,1053,807
1859,1054,807
1860,1055,807
1861,1055,808
1862,1055,809
1863,1056,809
1864,1056,810
1865,1057,810
1866,1057,811
1867,1058,811
1868,1059,811
1869,1060,811
1870,1061,811
1871,1061,812
1872,1061,813
1873,1061,814
1874,1062,814
1875,1062,815
1876,1063,815
1877,1064,815
1878,1064,816
1879,1065,816
1880,1066,816
1881,1066,817
1882,1067,817
1883,1068,817
1884,1068,818
1885,1069,818
1886,1069,819
1887,1070,819
1888,1070,820
1889,1071,820
1890,1072,820
1891,1073,820
1892,1073,821
1893,1074,821
1894,1074,822
1895,1074,823
1896,1074,824
1897,1075,824
1898,1075,825
1899,1076,825
1900,1077,825
1901,1078,825
1902,1079,825
1903,1079,826
1904,1080,826
1905,1080,827
1906,1081,827
1907,1081,828
1908,1081,829
1909,1081,830
1910,1082,830
1911,1082,831
1912,1082,832
1913,1083,832
1914,1083,833
1915,1084,833
1916,1084,834
1917,1084,835
1918,1085,835
1919,1085,836
1920,1086,836
1921,1086,837
1922,1087,837
1923,1087,838
1924,1088,838
1925,1089,838
1926,1089,839
1927,1090,839
1928,1090,840
1929,1091,840
1930,1091,841
1931,1092,841
1932,1093,841
1933,1093,842
1934,1093,843
1935,1093,844
1936,1094,844
1937,1095,844
1938,1095,845
1939,1095,846
1940,1096,846
1941,1096,847
1942,1096,848
1943,1096,849
1944,1096,850
1945,1096,851
1946,1096,852
1947,1096,853
1948,1096,854
1949,1097,854
1950,1097,855
1951,1097,856
1952,1097,857
1953,1097,858
1954,1098,858
1955,1098,859
1956,1098,860
1957,1099,860
1958,1100,860
1959,1101,860
1960,1101,861
1961,1102,861
1962,1102,862
1963,1103,862
1964,1104,862
1965,1104,863
1966,1105,863
1967,1106,863
1968,1107,863
1969,1107,864
1970,1108,864
1971,1108,865
1972,1108,866
1973,1108,867
1974,1109,867
1975,1110,867
1976,1110,868
1977,1111,868
1978,1111,869
1979,1112,869
1980,1113,869
1981,1113,870
1982,1114,870
1983,1115,870
1984,1116,870
1985,1116,871
1986,1116,872
1987,1116,873
1988,1116,874
1989,1117,874
1990,1117,875
1991,1118,875
1992,1118,876
1993,1119,876
1994,1119,877
1995,1120,877
1996,1120,878
1997,1120,879
1998,1121,879
1999,1121,880
2000,1121,881
2001,1122,881
2002,1123,881
2003,1124,881
2004,1125,881
2005,1125,882
2006,1125,883
2007,1126,883
2008,1126,884
2009,1127,884
2010,1127,885
2011,1127,886
2012,1128,886
2013,1128,887
2014,1128,888
2015,1129,888
2016,1129,889
2017,1130,889
2018,1131,889
2019,1131,890
2020,1131,891
2021,1132,891
2022,1132,892
2023,1132,893
2024,1133,893
2025,1133,894
2026,1133,895
2027,1134,895
2028,1134,896
2029,1135,896
2030,1135,897
2031,1136,897
2032,1137,897
2033,1138,897
2034,1139,897
2035,1140,897
2036,1141,897
2037,1141,898
2038,1142,898
2039,1143,898
2040,1144,898
2041,1144,899
2042,1144,900
2043,1145,900
2044,1145,901
2045,1146,901
2046,1147,901
2047,1147,902
2048,1148,902
2049,1149,902
2050,1150,902
2051,1150,903
2052,1151,903
2053,1151,904
2054,1151,905
2055,1151,906
2056,1151,907
2057,1151,908
2058,1152,908
2059,1152,909
2060,1152,910
2061,1152,911
2062,1153,911
2063,1154,911
2064,1155,911
2065,1155,912
2066,1155,913
2067,1155,914
2068,1155,915
2069,1156,915
2070,1156,916
2071,1157,916
2072,1158,916
2073,1158,917
2074,1159,917
2075,1160,917
2076,1160,918
2077,1160,919
2078,1160,920
2079,1161,920
2080,1161,921
2081,1162,921
2082,1162,922
2083,1163,922
2084,1164,922
2085,1164,923
2086,1165,923
2087,1165,924
2088,1166,924
